iter	Passed	Remaining
483	605	645
484	606	644
485	607	642
486	608	641
487	609	639
488	610	637
489	611	636
490	612	634
491	613	633
492	614	631
493	615	630
494	616	628
495	617	627
496	617	625
497	618	623
498	619	621
499	620	620
500	621	618
501	622	617
502	622	615
503	623	613
504	624	611
505	624	610
506	625	608
507	626	607
508	627	605
509	628	603
510	629	602
511	630	601
512	631	599
513	633	598
514	634	597
515	635	596
516	636	594
517	638	593
518	638	591
519	639	590
520	640	589
521	641	587
522	642	585
523	642	584
524	643	582
525	644	581
526	645	579
527	646	578
528	647	576
529	648	575
530	649	573
531	650	572
532	651	570
533	652	569
534	652	567
535	653	565
536	654	564
537	655	562
538	656	561
539	656	559
540	657	558
541	658	556
542	660	555
543	662	554
544	662	553
545	663	551
546	664	550
547	665	548
548	666	547
549	666	545
550	667	544
551	668	542
552	669	540
553	669	539
554	670	537
555	671	536
556	672	534
557	672	533
558	673	531
559	674	530
560	675	528
561	676	527
562	677	526
563	678	524
564	679	523
565	680	521
566	680	519
567	682	518
568	683	517
569	684	516
570	684	514
571	685	513
572	686	511
573	687	510
574	688	508
575	689	507
576	689	505
577	699	510
578	714	519
579	715	518
580	716	516
581	717	515
582	718	514
583	720	512
584	721	511
585	722	510
586	723	509
587	724	507
588	726	507
589	728	506
590	730	505
591	732	504
592	736	505
593	736	503
594	738	502
595	740	501
596	742	501
597	745	501
598	747	500
599	748	498
600	749	497
601	750	496
602	751	494
603	753	494
604	754	492
605	755	491
606	759	491
607	761	490
608	775	497
609	777	496
610	778	495
611	779	494
612	780	492
613	781	491
614	782	489
615	783	488
616	784	486
617	785	485
618	786	483
619	787	482
620	788	481
621	788	479
622	790	478
623	791	476
624	791	475
625	792	473
626	793	472
627	795	471
628	797	470
629	798	469
630	806	471
631	808	470
632	809	469
633	810	467
634	811	466
635	811	464
636	812	463
637	813	461
638	814	460
639	815	458
640	815	456
641	816	455
642	817	453
643	818	452
644	819	451
645	820	449
646	822	448
647	823	447
648	823	445
649	824	443
650	825	442
651	826	441
652	827	439
653	827	438
654	828	436
655	829	434
656	830	433
657	830	431
658	831	430
659	832	428
660	833	427
661	833	425
662	834	424
663	835	422
664	835	421
665	837	419
666	837	418
667	838	416
668	844	417
669	845	416
670	845	414
671	846	413
672	847	411
673	849	410
674	850	409
675	851	407
676	853	407
677	854	405
678	861	407
679	864	407
680	867	406
681	873	407
682	874	406
683	876	404
684	880	404
685	882	403
686	883	402
687	884	401
688	890	401
689	891	400
690	892	399
691	893	397
692	894	396
693	895	394
694	896	393
695	897	392
696	899	391
697	901	390
698	903	389
699	905	388
700	908	387
701	909	386
702	911	385
703	912	383
704	915	382
705	918	382
706	919	381
707	920	379
708	921	378
709	922	376
710	923	375
711	924	374
712	925	372
713	935	374
714	937	373
715	938	372
716	939	370
717	940	369
718	940	367
719	941	366
720	943	365
721	944	363
722	945	362
723	945	360
724	947	359
725	948	357
726	949	356
727	950	354
728	950	353
729	953	352
730	954	351
731	955	349
732	965	351
733	966	350
734	968	349
735	969	347
736	970	346
737	973	345
738	975	344
739	978	343
740	979	342
741	982	341
742	984	340
743	985	339
744	988	338
745	991	337
746	995	337
747	998	336
748	1005	336
749	1016	338
750	1019	338
751	1021	336
752	1022	335
753	1023	333
754	1024	332
755	1025	330
756	1025	329
757	1026	327
758	1027	326
759	1028	324
760	1029	323
761	1030	321
762	1031	320
763	1032	318
764	1033	317
765	1034	316
766	1035	314
767	1036	313
768	1037	311
769	1038	310
770	1039	308
771	1040	307
772	1041	305
773	1041	304
774	1042	302
775	1043	301
776	1044	299
777	1045	298
778	1046	296
779	1046	295
780	1047	293
781	1048	292
782	1049	290
783	1049	289
784	1050	287
785	1051	286
786	1052	284
787	1053	283
788	1053	281
789	1055	280
790	1056	279
791	1057	277
792	1058	276
793	1059	274
794	1060	273
795	1061	271
796	1062	270
797	1063	269
798	1064	267
799	1065	266
800	1066	264
801	1066	263
802	1067	261
803	1068	260
804	1068	258
805	1069	257
806	1070	255
807	1071	254
808	1071	253
809	1072	251
810	1073	250
811	1074	248
812	1075	247
813	1075	245
814	1077	244
815	1079	243
816	1092	244
817	1093	243
818	1094	241
819	1094	240
820	1095	238
821	1096	237
822	1098	236
823	1100	234
824	1101	233
825	1104	232
826	1105	231
827	1105	229
828	1106	228
829	1107	226
830	1108	225
831	1109	223
832	1110	222
833	1111	221
834	1112	219
835	1113	218
836	1113	216
837	1114	215
838	1115	214
839	1116	212
840	1116	211
841	1117	209
842	1118	208
843	1119	206
844	1119	205
845	1120	203
846	1121	202
847	1122	201
848	1122	199
849	1123	198
850	1124	196
851	1125	195
852	1127	194
853	1128	192
854	1128	191
855	1129	190
856	1130	188
857	1131	187
858	1132	185
859	1132	184
860	1133	183
861	1134	181
862	1135	180
863	1135	178
864	1136	177
865	1137	176
866	1138	174
867	1139	173
868	1140	171
869	1140	170
870	1141	169
871	1142	167
872	1143	166
873	1143	164
874	1144	163
875	1145	162
876	1146	160
877	1146	159
878	1147	158
879	1148	156
880	1150	155
881	1152	154
882	1153	152
883	1154	151
884	1155	150
885	1156	148
886	1157	147
887	1158	146
888	1159	144
