iter	Passed	Remaining
453	1033	1242
454	1034	1238
455	1043	1245
456	1046	1242
457	1046	1238
458	1050	1238
459	1051	1234
460	1058	1237
461	1060	1234
462	1062	1232
463	1063	1229
464	1067	1227
465	1067	1223
466	1072	1223
467	1074	1221
468	1076	1219
469	1077	1215
470	1078	1211
471	1082	1210
472	1084	1208
473	1086	1206
474	1087	1202
475	1088	1198
476	1093	1198
477	1094	1195
478	1098	1194
479	1101	1193
480	1104	1191
481	1106	1189
482	1108	1186
483	1110	1183
484	1110	1179
485	1111	1175
486	1112	1172
487	1119	1174
488	1120	1170
489	1122	1168
490	1125	1166
491	1128	1165
492	1130	1163
493	1132	1159
494	1135	1158
495	1136	1155
496	1140	1154
497	1141	1150
498	1143	1148
499	1147	1147
500	1149	1144
501	1150	1141
502	1152	1138
503	1153	1135
504	1156	1133
505	1158	1131
506	1160	1128
507	1162	1125
508	1163	1122
509	1167	1121
510	1169	1119
511	1170	1115
512	1173	1114
513	1174	1110
514	1178	1109
515	1179	1106
516	1182	1104
517	1184	1101
518	1185	1098
519	1186	1094
520	1187	1091
521	1192	1092
522	1195	1090
523	1197	1088
524	1200	1085
525	1201	1082
526	1203	1080
527	1205	1078
528	1208	1075
529	1210	1073
530	1212	1070
531	1213	1067
532	1217	1066
533	1220	1064
534	1220	1061
535	1222	1057
536	1226	1057
537	1227	1054
538	1228	1050
539	1229	1047
540	1234	1047
541	1235	1043
542	1239	1042
543	1242	1041
544	1243	1038
545	1245	1035
546	1248	1034
547	1250	1031
548	1252	1028
549	1254	1026
550	1257	1024
551	1259	1022
552	1260	1018
553	1262	1016
554	1263	1013
555	1264	1009
556	1268	1008
557	1270	1006
558	1272	1004
559	1274	1001
560	1276	999
561	1277	995
562	1281	994
563	1283	991
564	1284	988
565	1286	986
566	1287	983
567	1290	981
568	1291	978
569	1295	976
570	1297	975
571	1300	973
572	1301	969
573	1304	967
574	1305	964
575	1307	962
576	1307	958
577	1308	955
578	1309	952
579	1315	952
580	1316	949
581	1317	946
582	1322	945
583	1322	942
584	1325	940
585	1327	938
586	1328	934
587	1331	932
588	1333	930
589	1336	928
590	1337	925
591	1344	926
592	1346	924
593	1349	922
594	1350	918
595	1357	920
596	1359	917
597	1361	915
598	1363	912
599	1364	909
600	1365	906
601	1369	905
602	1372	903
603	1374	901
604	1377	899
605	1379	896
606	1382	894
607	1382	891
608	1383	888
609	1388	887
610	1390	885
611	1391	882
612	1392	879
613	1394	876
614	1395	873
615	1400	872
616	1401	870
617	1402	867
618	1406	865
619	1407	862
620	1410	860
621	1412	858
622	1413	855
623	1413	852
624	1417	850
625	1420	848
626	1421	845
627	1423	843
628	1424	840
629	1427	838
630	1429	835
631	1431	833
632	1433	831
633	1435	828
634	1438	826
635	1440	824
636	1442	822
637	1443	819
638	1446	817
639	1449	815
640	1451	813
641	1452	810
642	1456	808
643	1458	806
644	1459	803
645	1462	801
646	1463	798
647	1468	797
648	1469	794
649	1474	793
650	1476	791
651	1478	789
652	1482	788
653	1486	786
654	1488	784
655	1489	781
656	1492	779
657	1495	777
658	1496	774
659	1499	772
660	1499	769
661	1503	767
662	1504	764
663	1507	762
664	1508	759
665	1510	757
666	1513	755
667	1515	753
668	1517	750
669	1520	748
670	1521	746
671	1523	743
672	1526	741
673	1527	738
674	1528	735
675	1531	734
676	1532	731
677	1533	728
678	1538	727
679	1540	724
680	1541	721
681	1542	719
682	1543	716
683	1552	717
684	1553	714
685	1554	711
686	1557	709
687	1559	707
688	1568	707
689	1570	705
690	1573	703
691	1575	701
692	1575	698
693	1578	696
694	1581	693
695	1582	691
696	1584	688
697	1585	685
698	1591	685
699	1592	682
700	1596	680
701	1598	678
702	1601	676
703	1602	673
704	1606	672
705	1608	669
706	1610	667
707	1611	664
708	1612	661
709	1615	660
710	1618	657
711	1621	655
712	1621	652
713	1622	650
714	1630	649
715	1631	647
716	1632	644
717	1640	644
718	1641	641
719	1642	638
720	1649	638
721	1650	635
722	1651	632
723	1653	630
724	1654	627
725	1655	624
726	1665	625
727	1666	622
728	1667	619
729	1668	617
730	1671	615
731	1677	613
732	1677	611
733	1684	610
734	1685	607
735	1701	610
736	1701	607
737	1704	605
738	1705	602
739	1714	602
740	1715	599
741	1716	596
742	1717	593
743	1722	592
744	1722	589
745	1723	586
746	1733	587
747	1734	584
748	1737	582
749	1739	579
750	1740	577
751	1742	574
752	1745	572
753	1752	571
754	1753	568
755	1754	566
756	1758	564
757	1760	561
758	1761	559
759	1769	558
760	1770	555
761	1771	553
762	1771	550
763	1784	551
764	1785	548
765	1786	545
766	1787	543
767	1789	540
768	1794	539
769	1795	536
770	1801	535
771	1802	532
772	1803	529
773	1811	528
774	1816	527
775	1817	524
776	1818	521
777	1819	519
778	1820	516
779	1821	513
780	1822	511
781	1837	512
782	1839	509
783	1840	507
784	1841	504
785	1847	503
786	1849	500
787	1849	497
788	1850	494
789	1854	493
790	1856	490
791	1857	487
792	1871	488
793	1874	486
794	1875	483
795	1876	480
796	1880	478
797	1882	476
798	1884	474
799	1885	471
800	1886	468
801	1892	467
802	1893	464
803	1894	461
804	1895	459
805	1896	456
806	1910	456
807	1911	454
808	1912	451
809	1913	448
810	1914	446
811	1914	443
812	1915	440
813	1922	439
814	1923	436
815	1926	434
816	1931	432
817	1931	429
818	1932	427
819	1933	424
820	1934	421
821	1944	421
822	1946	418
823	1947	415
824	1951	413
825	1953	411
826	1953	408
827	1957	406
828	1958	404
829	1959	401
830	1960	398
831	1961	396
832	1968	394
833	1971	392
834	1972	389
835	1973	387
836	1977	385
837	1979	382
838	1980	380
839	1982	377
840	1982	374
841	1985	372
842	1992	371
843	1994	368
844	1995	365
845	1995	363
846	1996	360
847	1997	358
848	2003	356
849	2005	353
850	2005	351
851	2006	348
852	2007	345
853	2008	343
854	2010	341
855	2018	339
856	2019	337
857	2020	334
858	2022	332
859	2023	329
860	2025	326
861	2025	324
862	2027	321
863	2028	319
864	2029	316
865	2030	314
866	2031	311
867	2032	309
868	2036	306
869	2038	304
870	2039	302
871	2041	299
872	2042	297
873	2043	294
874	2044	292
875	2045	289
876	2046	286
877	2046	284
878	2047	281
879	2048	279
880	2049	276
881	2050	274
882	2051	271
883	2051	269
884	2052	266
885	2053	264
886	2054	261
887	2055	259
888	2056	256
889	2056	254
890	2057	251
891	2058	249
892	2059	246
893	2060	244
894	2061	241
895	2062	239
896	2070	237
897	2071	235
898	2072	232
899	2073	230
900	2074	227
901	2075	225
902	2076	223
903	2076	220
904	2077	218
905	2081	215
906	2081	213
907	2082	211
908	2083	208
909	2084	206
910	2085	203
911	2085	201
912	2087	198
913	2088	196
914	2089	194
915	2090	191
916	2091	189
917	2091	186
918	2094	184
919	2095	182
920	2100	180
921	2100	177
922	2101	175
923	2102	172
924	2103	170
925	2104	168
926	2105	165
927	2106	163
928	2107	161
929	2110	158
930	2111	156
931	2112	154
932	2113	151
933	2123	150
934	2124	147
935	2125	145
936	2127	143
937	2128	140
938	2130	138
939	2132	136
940	2136	133
941	2139	131
942	2142	129
943	2143	127
944	2143	124
945	2145	122
946	2146	120
947	2149	117
948	2150	115
949	2153	113
950	2155	111
951	2155	108
952	2156	106
953	2157	104
954	2159	101
955	2163	99
956	2164	97
957	2165	94
958	2166	92
959	2167	90
960	2168	88
961	2169	85
962	2171	83
963	2172	81
964	2172	78
965	2173	76
966	2174	74
967	2175	71
968	2176	69
969	2177	67
970	2178	65
971	2180	62
972	2181	60
973	2182	58
974	2191	56
975	2192	53
976	2193	51
977	2196	49
978	2197	47
979	2199	44
980	2201	42
981	2203	40
982	2207	38
983	2210	35
984	2212	33
985	2214	31
986	2216	29
987	2218	26
988	2221	24
989	2223	22
990	2226	20
991	2229	17
992	2232	15
993	2233	13
994	2235	11
995	2236	8
996	2238	6
997	2239	4
998	2241	2
999	2242	0
